【テーブルA】評価セルマッピング										【テーブルB】グループ存在				【テーブルC】オプション選択				【テーブルD】メンテナンス状況						【テーブルE】カテゴリ調査状況				【テーブルF】項目調査実施状況							【テーブルG】資料値・実測値				【テーブルH】物件基本情報				【テーブルI】備考			【テーブルJ】定型写真				【テーブルK】不具合テンプレート							
itemId	aセル(V列)	b1セル(X列)	b2セル(W列)	cセル(Y列)	目視セル	計測セル	触診セル		項目名（参考）	groupKey	グループ名	有セル	無セル	optionKey	選択値名	セルアドレス	説明	maintId	要セル	不要セル	良好セル	特に問題無セル	説明	catId/groupId	実施セル	不可セル	不可理由セル	itemId	実施セル	不要セル	不可セル	不可理由セル	項目名		itemId	資料値セル	実測値セル	項目名	fieldKey	フィールド名	セルアドレス	説明	remarkKey	セルアドレス	説明	photoType	写真名	画像挿入先セル	備考	templateKey	シート名	場所セル(左)	部位セル(左)	劣化状況セル(左)	評価セル(左)	補修方法セル(左)	画像セル(左)
item47	W273	Y273	W274	Y274	S273	S274	S275		外部③ 建築物外部: 鉄筋露出(RC)					cornice_lt300	300＞	D303	軒の出																																								
item48	W276	Y276	W277	Y277	S276	S277	S278		外部③ 建築物外部: 仕上材せり上がり					cornice_gte300	300≦	D304	軒の出																																								
item49	W279	Y279	W280	Y280	S279	S280	S281		外部③ 建築物外部: 板状仕上材割れ					cornice_gte450	450≦	D305	軒の出																																								
item50	W282	Y282	W283	Y283	S282	S283	S284		外部③ 建築物外部: 板状仕上材かけ					cornice_gte900	900≦	D306	軒の出																																								
item51	W285	Y285	W286	Y286	S285	S286	S287		外部③ 建築物外部: 金属板状仕上材錆					roof_flat	陸屋根	D398	屋根仕様																																								
item52	W288	Y288	W289	Y289	S288	S289	S290		外部③ 建築物外部: 鉄筋露出(鉄骨)					roof_metal	金属板葺き	D399	屋根仕様																																								
item53	W291	Y291	W292	Y292	S291	S292	S293		外部③ 建築物外部: シーリング					roof_tin	トタン	D400	屋根仕様																																								
item54	W294	Y294	W295	Y295	S294	S295	S296		外部③ 建築物外部: 建具周囲隙間					roof_slate	スレート瓦屋根	D401	屋根仕様																																								
item55	W297	Y297	W298	Y298	S297	S298	S299		外部③ 建築物外部: 軒裏水染み					roof_tile	桟瓦葺き	D402	屋根仕様																																								
item56	W300	Y300	W301	Y301	S300	S301	S302		外部③ 建築物外部: 雨樋破損					roof_other	その他	D403	屋根仕様																																								
item57	W303	Y303	W304	Y304	S303	S304	S305		外部③ 建築物外部: 設備配管外壁貫通部					camera_rod_yes	実施可	D407	撮影棒確認																																								
item58	W328	Y328	W329	Y329	S328	S329	S330		外部③ 建築物外部: 支持部材					camera_rod_no	実施不可	D408	撮影棒確認																																								
item59	W331	Y331	W332	Y332	S331	S332	S333		外部③ 建築物外部: 仕上状況					wp_asphalt	アスファルト防水	D416	防水工法																																								
item60	W334	Y334	W335	Y335	S334	S335	S336		外部③ 建築物外部: 天井シーリング					wp_sheet	シート防水	D417	防水工法																																								
item61	W337	Y337	W338	Y338	S337	S338	S339		外部③ 建築物外部: 照明器具					wp_coating	塗膜防水	D418	防水工法																																								
item62	W340	Y340	W341	Y341	S340	S341	S342		外部③ 建築物外部: ぐらつき・錆					wp_frp	FRP防水	D419	防水工法																																								
item63	W343	Y343	W344	Y344	S343	S344	S345		外部③ 建築物外部: 手摺壁ひび割れ					wp_other	その他	D420	防水工法																																								
item64	W346	Y346	W347	Y347	S346	S347	S348		外部③ 建築物外部: 手摺壁シーリング					check_visual	屋上にて目視確認	C428	確認方法																																								
item65	W349	Y349	W350	Y350	S349	S350	S351		外部③ 建築物外部: 手摺笠木					check_camera_rod	撮影棒による画像確認	C429	確認方法																																								
item66	W352	Y352	W353	Y353	S352	S353	S354		外部③ 建築物外部: 仕上ひび割れ					check_impossible	実施不可	C430	確認方法																																								
